,0,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,0
0,Away,2,4,8,2,6,2,15,6,1,37%,5,1,2,303,189,62%,0-0
1,Home,3,8,15,4,8,7,20,7,3,43%,0,0,2,356,234,66%,0-1
2,Away,2,5,10,3,6,4,20,4,2,39%,2,0,6,285,166,58%,1-2
3,Home,4,7,13,2,5,8,15,3,4,29%,2,0,3,272,187,69%,1-2
4,Away,3,3,10,4,7,3,21,2,5,34%,4,0,3,280,184,66%,1-1
5,Home,8,8,17,1,13,4,11,7,6,39%,1,0,1,292,198,68%,4-0
6,Away,3,5,10,2,9,1,21,5,2,38%,3,0,7,266,151,57%,2-1
7,Home,3,5,8,0,5,3,23,4,3,31%,2,0,4,250,169,68%,1-2
8,Away,5,2,9,2,6,3,16,2,5,49%,3,0,0,368,253,69%,1-1
9,Home,5,2,10,3,7,3,19,8,6,44%,3,0,3,330,234,71%,2-1
10,Away,2,6,9,1,8,1,14,6,2,26%,6,0,2,229,143,62%,2-2
11,Home,8,2,13,3,11,2,18,4,1,43%,2,0,4,316,221,70%,4-1
12,Away,4,3,7,,4,3,18,4,0,49%,7,0,4,398,283,71%,1-0
13,Home,3,3,11,5,6,5,18,5,6,32%,7,1,6,218,123,56%,1-0
14,Home,3,3,6,0,3,3,14,9,5,47%,0,0,1,327,198,61%,0-0
15,Away,0,3,7,4,2,5,25,7,8,55%,6,0,1,313,234,75%,1-0
16,Home,7,6,13,0,8,5,23,3,0,32%,3,0,6,287,205,71%,2-0
17,Away,5,1,10,4,5,5,16,0,0,40%,3,0,3,383,278,73%,2-0
18,Home,3,3,7,1,3,4,19,5,5,42%,3,0,2,325,202,62%,1-0
19,Home,6,4,17,7,10,7,17,6,1,49%,5,0,3,365,261,72%,2-2
20,Away,2,3,7,2,6,1,15,4,0,36%,3,0,0,328,220,67%,1-1
21,Home,1,7,11,3,5,6,17,5,,50%,2,0,1,358,222,62%,0-0
22,Away,1,6,10,3,3,7,13,3,3,21%,3,0,6,203,115,57%,0-0
23,Home,5,2,9,2,6,3,21,5,1,31%,4,0,1,254,167,66%,3-0
24,Away,3,2,5,0,2,3,21,8,5,47%,3,0,3,357,245,69%,1-0
25,Home,5,6,14,3,8,7,6,10,2,41%,2,0,1,310,200,65%,3-0
26,Away,4,0,4,0,2,2,18,0,4,24%,3,1,4,258,190,74%,3-1
27,Home,3,9,13,1,10,3,14,4,2,44%,4,0,2,278,166,60%,0-1
28,Away,5,2,9,2,6,3,21,1,4,33%,6,0,1,236,150,64%,1-2
29,Home,4,4,8,0,7,1,21,4,4,33%,4,0,3,271,191,70%,0-1
30,Away,1,2,5,2,3,2,22,3,3,52%,3,0,0,344,203,59%,2-0
31,Home,4,4,13,5,8,5,19,4,4,37%,5,1,0,280,185,66%,1-0
32,Away,3,3,8,2,3,5,14,5,3,36%,7,0,2,301,194,64%,1-2
33,Away,4,0,7,3,5,2,16,3,1,35%,1,0,2,234,96,41%,0-1
34,Home,2,4,10,4,7,3,19,4,1,38%,6,1,1,261,167,64%,1-1
35,Away,1,5,8,2,6,2,28,4,3,31%,2,0,5,212,126,59%,0-1
36,Home,4,5,11,2,7,4,13,8,0,51%,3,0,2,410,290,71%,0-1
37,Away,3,6,11,2,6,5,12,9,3,61%,1,0,2,441,335,76%,0-1
